Date,ViewCart,ShippingOptions,Payment,OrderConfirmation
2017/10/03,316,141,112,98
2017/10/09,296,143,116,102
2017/12/05,378,197,158,139
2017/12/10,410,185,139,114
2018/02/11,413,186,150,129
2018/02/27,308,162,127,114
2017/07/21,140,69,56,49
2018/04/11,264,110,88,77
2018/04/05,434,208,163,140
2017/09/09,203,77,60,48
2017/09/04,295,131,106,96
2017/09/03,375,194,163,145
2017/09/09,203,77,60,48
2018/04/06,255,91,76,67
2018/04/12,320,134,111,94
2017/07/22,159,82,70,58
2018/02/14,277,128,101,87
2018/01/31,287,138,120,108
2017/12/12,480,244,195,174
2017/12/06,366,174,135,108
2017/10/09,296,143,116,102
2017/10/04,259,102,89,78
2017/10/12,282,143,111,104
2017/10/06,213,77,57,50
2017/12/09,297,137,110,95
2017/12/04,513,259,211,182
2018/02/16,284,110,84,74
2018/02/02,225,77,67,63
2017/07/20,204,92,72,67
2017/07/08,161,63,47,42
2018/04/04,268,127,111,93
2018/04/10,311,112,87,77
2017/09/05,240,115,93,84
2017/09/10,399,174,145,124
2017/09/12,260,130,104,89
2017/09/06,271,128,97,85
2018/04/09,302,133,110,101
2018/04/03,292,145,112,100
2017/07/06,146,87,70,63
2017/07/18,240,113,94,85
2018/02/01,453,211,168,146
2018/02/15,304,116,96,86
2017/12/03,374,170,124,110
2017/12/09,297,137,110,95
2017/10/04,259,102,89,78
2017/10/11,228,97,81,71
2017/10/15,256,117,91,85
2017/10/01,327,146,122,102
2017/12/12,480,244,195,174
2017/12/27,383,166,130,109
2018/02/10,382,161,131,106
2018/02/05,310,136,103,93
2017/07/17,305,148,122,111
2017/07/23,347,160,130,116
2017/07/29,134,71,52,48
2017/09/02,155,73,54,46
2018/04/27,267,91,80,73
2017/09/15,187,79,65,55
2018/04/13,243,91,69,58
2017/05/25,189,93,87,78
2017/05/26,144,64,51,48
2018/04/14,212,71,56,48
2018/03/31,222,87,62,47
2018/04/28,263,81,69,63
2017/09/14,264,122,98,79
2017/09/01,169,68,57,48
2017/07/30,300,161,127,115
2017/07/24,286,148,125,109
2017/07/18,240,113,94,85
2018/02/06,354,164,131,115
2018/02/11,413,186,150,129
2017/12/27,383,166,130,109
2017/11/30,301,127,93,79
2017/12/14,338,163,139,123
2017/10/02,288,130,104,96
2017/10/15,256,117,91,85
2017/09/30,217,84,69,62
2017/10/14,175,75,63,54
2017/10/27,164,61,48,44
2017/12/02,222,80,69,56
2017/12/16,226,111,81,72
2018/02/04,329,146,115,101
2018/02/10,382,161,131,106
2017/07/26,238,102,83,77
2017/09/13,216,95,71,65
2017/09/27,285,125,98,85
2018/04/16,281,143,119,99
2018/04/02,323,158,134,111
2017/05/30,241,133,114,102
2017/05/29,254,125,102,95
2018/04/01,314,143,101,81
2017/09/28,416,160,131,110
2018/04/15,411,172,138,114
2017/08/31,198,96,80,72
2017/09/14,264,122,98,79
2017/07/25,256,126,106,96
2018/02/09,268,104,75,68
2018/02/03,282,121,93,84
2017/12/15,215,90,66,60
2017/12/01,229,91,62,55
2017/10/26,338,157,128,111
2017/10/13,207,96,70,59
2017/06/20,261,139,106,92
2017/06/08,193,105,86,76
2018/05/03,300,125,101,93
2018/05/10,301,127,101,87
2017/08/05,188,86,78,67
2017/08/11,150,72,53,50
2018/03/16,352,134,96,81
2018/03/01,284,139,113,104
2017/11/12,292,119,95,85
2017/11/06,310,151,131,112
2018/01/14,372,166,142,126
2017/12/31,188,70,61,56
2018/01/27,184,80,66,57
2018/01/27,184,80,66,57
2018/01/13,368,148,128,113
2017/11/05,394,193,160,133
2017/11/11,186,83,64,55
2018/02/28,301,135,118,97
2018/03/15,512,222,167,132
2017/08/11,150,72,53,50
2017/08/06,377,189,157,139
2018/05/08,283,121,98,88
2018/05/03,300,125,101,93
2017/06/07,202,108,86,80
2017/06/19,371,190,153,132
2017/06/20,261,139,106,92
2018/05/11,242,81,65,54
2018/05/05,164,70,55,49
2017/08/10,257,121,99,80
2017/08/04,166,75,57,49
2018/03/13,396,180,151,118
2018/03/27,259,136,108,94
2017/11/03,280,106,85,76
2017/11/09,401,170,142,122
2018/01/01,298,119,92,82
2018/01/15,311,146,119,111
2018/01/15,311,146,119,111
2018/01/02,322,155,113,104
2017/11/10,203,88,73,62
2017/11/04,215,87,66,57
2018/03/28,230,87,61,53
2018/03/14,465,219,177,157
2018/02/28,301,135,118,97
2017/08/03,199,105,86,75
2017/08/09,332,152,115,95
2018/05/06,348,145,121,106
2018/05/12,204,86,67,59
2017/06/22,216,103,86,73
2017/06/25,385,206,176,150
2017/08/13,357,158,123,107
2018/05/15,328,132,114,104
2017/08/27,430,222,181,157
2018/05/02,244,110,91,82
2018/03/04,360,162,120,110
2018/03/10,316,133,108,99
2017/10/31,292,125,101,88
2017/11/14,305,144,115,106
2017/11/28,469,253,207,176
2018/01/06,236,100,77,67
2018/01/12,296,114,101,90
2018/01/11,284,113,92,81
2018/01/05,324,108,84,75
2017/11/27,428,221,166,141
2017/11/13,285,135,112,100
2018/03/09,250,90,62,52
2018/03/03,236,95,65,60
2018/05/01,305,132,114,91
2017/08/28,320,142,117,106
2017/07/31,247,124,97,87
2017/08/14,337,155,125,102
2017/06/25,385,206,176,150
2017/06/17,174,81,66,60
2017/06/23,187,92,67,60
2017/06/28,226,122,107,94
2017/08/02,245,116,97,86
2017/08/16,277,121,104,90
2018/05/13,299,122,95,80
2018/03/11,471,190,151,125
2018/03/05,340,136,110,96
2017/11/14,305,144,115,106
2017/11/01,270,128,101,87
2018/01/09,352,175,129,114
2018/01/03,417,186,139,126
2018/01/04,354,141,111,93
2018/01/10,360,162,131,112
2017/11/02,248,117,98,85
2017/11/16,306,155,132,110
2018/03/06,296,137,110,85
2018/03/12,414,166,135,110
2018/04/30,265,112,85,73
2017/08/14,337,155,125,102
2017/08/01,260,127,101,87
2017/06/24,161,75,60,55
2017/06/18,288,132,105,92
2017/06/13,243,133,116,102
2017/06/27,226,118,103,89
2018/05/23,349,158,128,112
2017/08/25,149,71,58,48
2018/05/15,328,132,114,104
2018/03/21,394,166,133,115
2017/11/25,314,130,97,84
2018/01/19,223,97,78,67
2018/01/07,369,172,145,127
2018/01/08,463,193,161,142
2018/01/19,223,97,78,67
2017/11/26,564,270,212,184
2018/03/22,357,167,132,108
2017/08/25,149,71,58,48
2018/05/18,249,75,60,55
2017/06/28,226,122,107,94
2017/06/14,219,127,108,101
2017/05/31,290,159,133,116
2017/06/16,158,69,53,49
2017/06/02,122,56,41,38
2017/08/17,206,112,93,83
2017/08/29,277,132,109,99
2017/08/22,257,128,99,87
2018/03/20,373,168,140,123
2018/03/08,380,163,136,104
2017/11/18,291,121,95,84
2017/11/24,352,154,126,106
2018/01/22,307,147,127,105
2018/01/21,354,171,134,113
2017/11/29,323,166,132,124
2017/11/23,684,324,280,238
2017/11/17,319,130,97,89
2018/03/07,330,143,120,105
2018/03/19,409,188,151,122
2017/08/24,204,103,88,78
2017/08/30,239,107,84,79
2017/08/18,155,71,60,52
2017/06/01,208,101,82,74
2017/06/14,219,127,108,101
2017/06/11,367,198,161,144
2017/06/05,308,157,122,110
2017/08/19,196,75,64,60
2017/08/07,279,135,114,98
2018/05/21,331,143,117,15
2018/03/17,396,164,127,97
2018/03/23,237,88,72,8
2018/03/29,261,93,72,61
2017/11/19,315,154,114,93
2017/11/07,265,127,105,94
2018/01/25,273,131,105,92
2018/01/26,167,70,59,55
2017/11/07,265,127,105,94
2017/11/19,315,154,114,93
2018/03/30,233,91,68,50
2018/03/24,226,77,67,56
2018/03/18,566,272,224,194
2018/05/22,451,184,148,128
2017/08/06,377,189,157,139
2017/08/19,196,75,64,60
2017/06/06,234,128,105,97
2017/06/12,254,141,115,105
2017/06/04,247,115,97,80
2017/06/10,120,47,44,41
2017/08/21,290,152,122,108
2018/05/08,283,121,98,88
2018/05/20,405,155,124,106
2018/03/25,330,144,116,96
2017/11/22,419,198,161,140
2018/01/18,450,204,160,141
2018/01/30,332,156,132,118
2018/01/24,246,116,99,86
2018/01/23,310,143,116,102
2018/01/28,233,110,89,80
2018/01/16,360,167,133,120
2017/11/20,376,153,117,98
2018/03/25,330,144,116,96
2018/05/19,207,81,61,52
2018/05/07,272,116,93,83
2017/08/21,290,152,122,108
2017/06/09,129,63,56,50
2017/06/03,117,65,52,46
2017/10/18,247,128,104,99
2017/10/24,286,124,94,83
2017/10/30,309,138,107,91
2017/12/25,361,160,121,110
2018/02/20,336,150,122,111
2018/02/08,443,179,143,122
2017/07/16,359,180,153,137
2017/07/02,386,182,146,128
2017/09/17,461,204,173,150
2018/04/26,280,109,82,69
2017/09/29,206,85,63,56
2017/09/22,183,84,66,61
2017/05/28,346,174,154,138
2017/05/27,129,59,50,45
2017/09/23,161,71,60,50
2017/09/17,461,204,173,150
2018/04/24,257,108,81,70
2017/07/01,190,109,94,89
2017/07/15,115,60,43,38
2018/02/07,392,163,135,115
2018/02/19,361,159,139,127
2017/12/25,361,160,121,110
2017/10/29,424,187,159,136
2017/10/22,278,98,78,65
2017/10/16,255,113,100,91
2017/10/24,286,124,94,83
2017/12/17,513,250,188,160
2017/12/29,282,117,89,78
2017/12/23,111,38,25,22
2018/02/21,338,164,129,107
2017/07/13,193,100,75,67
2017/07/27,178,88,73,63
2018/04/22,366,147,130,111
2018/04/29,391,166,125,102
2018/04/17,311,138,106,91
2017/09/26,315,156,116,100
2018/04/18,298,120,97,87
2017/09/25,315,139,110,97
2018/04/24,257,108,81,70
2017/07/28,122,50,42,40
2017/07/14,142,52,43,39
2017/06/30,176,101,74,67
2018/02/22,272,119,96,82
2017/12/24,144,54,36,33
2017/12/30,223,87,71,62
2017/12/18,328,166,130,109
2017/10/26,338,157,128,111
2017/10/22,278,98,78,65
2017/12/19,291,135,103,86
2017/12/08,342,145,105,89
2018/02/26,296,145,110,97
2017/07/04,243,123,106,90
2017/07/10,328,175,145,127
2017/09/21,277,126,100,81
2018/04/08,484,216,178,150
2018/04/20,223,90,71,61
2018/04/19,321,128,104,87
2018/04/07,262,99,66,59
2017/09/22,183,84,66,61
2017/07/09,355,179,149,128
2017/07/02,386,182,146,128
2018/02/25,357,159,135,122
2017/12/07,323,154,115,99
2017/12/19,291,135,103,86
2017/10/20,176,71,59,52
2017/10/19,293,131,109,83
2017/10/06,213,77,57,50
2017/12/21,181,75,57,50
2018/02/16,284,110,84,74
2018/02/23,251,98,85,74
2017/07/11,257,138,95,85
2017/07/05,225,109,88,83
2017/09/19,263,117,101,88
2017/09/08,193,72,56,46
2018/04/21,236,87,75,58
2018/04/22,366,147,130,111
2017/09/07,248,93,73,65
2017/09/19,263,117,101,88
2017/07/05,225,109,88,83
2017/07/12,195,96,80,69
2018/02/24,287,125,98,83
2018/02/18,404,188,159,139
2017/12/22,189,74,51,45
2017/10/07,219,90,74,66
2017/10/20,176,71,59,52
